year	month	day	hour	minute	second	U(m/s)	V(m/s)
2023	6	5	2	0	0	-2.764593922	6.434766645
2023	6	5	2	10	0	NaN	NaN
2023	6	5	2	20	0	NaN	NaN
2023	6	5	2	30	0	NaN	NaN
2023	6	5	2	40	0	NaN	NaN
2023	6	5	2	50	0	NaN	NaN
2023	6	5	3	0	0	-3.492804215	5.789459175
2023	6	5	3	10	0	NaN	NaN
2023	6	5	3	20	0	NaN	NaN
2023	6	5	3	30	0	NaN	NaN
2023	6	5	3	40	0	NaN	NaN
2023	6	5	3	50	0	NaN	NaN
2023	6	5	4	0	0	-4.027306359	5.740029439
2023	6	5	4	10	0	NaN	NaN
2023	6	5	4	20	0	NaN	NaN
2023	6	5	4	30	0	NaN	NaN
2023	6	5	4	40	0	NaN	NaN
2023	6	5	4	50	0	NaN	NaN
2023	6	5	5	0	0	-4.042045022	5.85067949
2023	6	5	5	10	0	NaN	NaN
2023	6	5	5	20	0	NaN	NaN
2023	6	5	5	30	0	NaN	NaN
2023	6	5	5	40	0	NaN	NaN
2023	6	5	5	50	0	NaN	NaN
2023	6	5	6	0	0	-3.420614843	6.137281262
2023	6	5	6	10	0	NaN	NaN
2023	6	5	6	20	0	NaN	NaN
2023	6	5	6	30	0	NaN	NaN
2023	6	5	6	40	0	NaN	NaN
2023	6	5	6	50	0	NaN	NaN
2023	6	5	7	0	0	-2.165722921	5.669739448
2023	6	5	7	10	0	NaN	NaN
2023	6	5	7	20	0	NaN	NaN
2023	6	5	7	30	0	NaN	NaN
2023	6	5	7	40	0	NaN	NaN
2023	6	5	7	50	0	NaN	NaN
2023	6	5	8	0	0	-0.951136733	4.500204687
2023	6	5	8	10	0	NaN	NaN
2023	6	5	8	20	0	NaN	NaN
2023	6	5	8	30	0	NaN	NaN
2023	6	5	8	40	0	NaN	NaN
2023	6	5	8	50	0	NaN	NaN
2023	6	5	9	0	0	-0.244884041	2.884895334
2023	6	5	9	10	0	NaN	NaN
2023	6	5	9	20	0	NaN	NaN
2023	6	5	9	30	0	NaN	NaN
2023	6	5	9	40	0	NaN	NaN
2023	6	5	9	50	0	NaN	NaN
2023	6	5	10	0	0	1.234998091	1.54983898
2023	6	5	10	10	0	NaN	NaN
2023	6	5	10	20	0	NaN	NaN
2023	6	5	10	30	0	NaN	NaN
2023	6	5	10	40	0	NaN	NaN
2023	6	5	10	50	0	NaN	NaN
2023	6	5	11	0	0	1.755363149	0.058784194
2023	6	5	11	10	0	NaN	NaN
2023	6	5	11	20	0	NaN	NaN
2023	6	5	11	30	0	NaN	NaN
2023	6	5	11	40	0	NaN	NaN
2023	6	5	11	50	0	NaN	NaN
2023	6	5	12	0	0	2.29407634	-1.214144878
2023	6	5	12	10	0	NaN	NaN
2023	6	5	12	20	0	NaN	NaN
2023	6	5	12	30	0	NaN	NaN
2023	6	5	12	40	0	NaN	NaN
2023	6	5	12	50	0	NaN	NaN
2023	6	5	13	0	0	2.880614989	-2.597724
2023	6	5	13	10	0	NaN	NaN
2023	6	5	13	20	0	NaN	NaN
2023	6	5	13	30	0	NaN	NaN
2023	6	5	13	40	0	NaN	NaN
2023	6	5	13	50	0	NaN	NaN
2023	6	5	14	0	0	3.829002867	-3.595841879
2023	6	5	14	10	0	NaN	NaN
2023	6	5	14	20	0	NaN	NaN
2023	6	5	14	30	0	NaN	NaN
2023	6	5	14	40	0	NaN	NaN
2023	6	5	14	50	0	NaN	NaN
2023	6	5	15	0	0	4.627297009	-4.467891257
2023	6	5	15	10	0	NaN	NaN
2023	6	5	15	20	0	NaN	NaN
2023	6	5	15	30	0	NaN	NaN
2023	6	5	15	40	0	NaN	NaN
2023	6	5	15	50	0	NaN	NaN
2023	6	5	16	0	0	4.819501213	-4.652912653
2023	6	5	16	10	0	NaN	NaN
2023	6	5	16	20	0	NaN	NaN
2023	6	5	16	30	0	NaN	NaN
2023	6	5	16	40	0	NaN	NaN
2023	6	5	16	50	0	NaN	NaN
2023	6	5	17	0	0	4.897104788	-4.504623446
2023	6	5	17	10	0	NaN	NaN
2023	6	5	17	20	0	NaN	NaN
2023	6	5	17	30	0	NaN	NaN
2023	6	5	17	40	0	NaN	NaN
2023	6	5	17	50	0	NaN	NaN
2023	6	5	18	0	0	4.965083113	-4.488751512
2023	6	5	18	10	0	NaN	NaN
2023	6	5	18	20	0	NaN	NaN
2023	6	5	18	30	0	NaN	NaN
2023	6	5	18	40	0	NaN	NaN
2023	6	5	18	50	0	NaN	NaN
2023	6	5	19	0	0	4.978618621	-4.863329144
2023	6	5	19	10	0	NaN	NaN
2023	6	5	19	20	0	NaN	NaN
2023	6	5	19	30	0	NaN	NaN
2023	6	5	19	40	0	NaN	NaN
2023	6	5	19	50	0	NaN	NaN
2023	6	5	20	0	0	4.877854289	-5.10412905
2023	6	5	20	10	0	NaN	NaN
2023	6	5	20	20	0	NaN	NaN
2023	6	5	20	30	0	NaN	NaN
2023	6	5	20	40	0	NaN	NaN
2023	6	5	20	50	0	NaN	NaN
2023	6	5	21	0	0	4.676024835	-4.916386751
2023	6	5	21	10	0	NaN	NaN
2023	6	5	21	20	0	NaN	NaN
2023	6	5	21	30	0	NaN	NaN
2023	6	5	21	40	0	NaN	NaN
2023	6	5	21	50	0	NaN	NaN
2023	6	5	22	0	0	4.993958862	-4.930444749
2023	6	5	22	10	0	NaN	NaN
2023	6	5	22	20	0	NaN	NaN
2023	6	5	22	30	0	NaN	NaN
2023	6	5	22	40	0	NaN	NaN
2023	6	5	22	50	0	NaN	NaN
2023	6	5	23	0	0	5.266473743	-5.932190498
2023	6	5	23	10	0	NaN	NaN
2023	6	5	23	20	0	NaN	NaN
2023	6	5	23	30	0	NaN	NaN
2023	6	5	23	40	0	NaN	NaN
2023	6	5	23	50	0	NaN	NaN
2023	6	6	0	0	0	4.793031776	-6.090909834
2023	6	6	0	10	0	NaN	NaN
2023	6	6	0	20	0	NaN	NaN
2023	6	6	0	30	0	NaN	NaN
2023	6	6	0	40	0	NaN	NaN
2023	6	6	0	50	0	NaN	NaN
2023	6	6	1	0	0	3.919841161	-5.455579008
2023	6	6	1	10	0	NaN	NaN
2023	6	6	1	20	0	NaN	NaN
2023	6	6	1	30	0	NaN	NaN
2023	6	6	1	40	0	NaN	NaN
2023	6	6	1	50	0	NaN	NaN
2023	6	6	2	0	0	3.626872625	-4.94722365
2023	6	6	2	10	0	NaN	NaN
2023	6	6	2	20	0	NaN	NaN
2023	6	6	2	30	0	NaN	NaN
2023	6	6	2	40	0	NaN	NaN
2023	6	6	2	50	0	NaN	NaN
2023	6	6	3	0	0	3.477380467	-5.082361827
2023	6	6	3	10	0	NaN	NaN
2023	6	6	3	20	0	NaN	NaN
2023	6	6	3	30	0	NaN	NaN
2023	6	6	3	40	0	NaN	NaN
2023	6	6	3	50	0	NaN	NaN
2023	6	6	4	0	0	3.090565747	-5.458299911
2023	6	6	4	10	0	NaN	NaN
2023	6	6	4	20	0	NaN	NaN
2023	6	6	4	30	0	NaN	NaN
2023	6	6	4	40	0	NaN	NaN
2023	6	6	4	50	0	NaN	NaN
2023	6	6	5	0	0	2.580126727	-4.481495771
2023	6	6	5	10	0	NaN	NaN
2023	6	6	5	20	0	NaN	NaN
2023	6	6	5	30	0	NaN	NaN
2023	6	6	5	40	0	NaN	NaN
2023	6	6	5	50	0	NaN	NaN
2023	6	6	6	0	0	2.271517161	-3.048940397
2023	6	6	6	10	0	NaN	NaN
2023	6	6	6	20	0	NaN	NaN
2023	6	6	6	30	0	NaN	NaN
2023	6	6	6	40	0	NaN	NaN
2023	6	6	6	50	0	NaN	NaN
2023	6	6	7	0	0	1.949973665	-2.258971589
2023	6	6	7	10	0	NaN	NaN
2023	6	6	7	20	0	NaN	NaN
2023	6	6	7	30	0	NaN	NaN
2023	6	6	7	40	0	NaN	NaN
2023	6	6	7	50	0	NaN	NaN
2023	6	6	8	0	0	1.076181472	-1.911602986
2023	6	6	8	10	0	NaN	NaN
